Entrances,Not_reside,Used,floors,appartment,RuleID,Name,Shape_Leng,Shape_Area,lat,lon
1,0,מגורים,1,1,1,,67.08476196,169.0978049,31.27250823,34.75858101
1,0,מגורים,1,1,1,,63.022146,194.503221,31.27238474,34.75783196
1,0,מגורים,1,1,1,,65.36629997,195.6422932,31.27314537,34.75728654
1,0,מגורים,2,1,1,,71.07699336,214.7427204,31.27415135,34.75416643
1,0,מגורים,1,1,1,,63.43271605,203.5928526,31.27451957,34.75512647
1,0,מגורים,1,1,1,,60.27800227,178.4330125,31.27260436,34.76139408
1,0,מגורים,2,1,1,,64.70905149,162.2279062,31.27545374,34.75700845
1,0,מגורים,1,1,1,,65.63942481,201.1773854,31.27502649,34.75500454
1,0,מגורים,1,1,1,,67.49593711,197.6216599,31.27389273,34.76025873
1,0,מגורים,1,1,1,,64.49436872,197.6562183,31.27342649,34.7587799
1,0,מגורים,1,1,1,,67.5585687,174.3993985,31.27231871,34.75186767
1,0,מגורים,1,1,1,,62.07001176,189.2307,31.27159927,34.75927285
1,0,מגורים,2,1,1,,57.44011448,168.5285131,31.27373609,34.75579987
1,0,מגורים,1,1,1,,68.80871898,192.0697195,31.27373809,34.75804943
1,0,גן ילדים,1,0,1,גן ילדים,50.96428548,132.6861335,31.27314534,34.75898407
1,0,גן ילדים,1,0,1,,51.28604671,127.6572267,31.27302043,34.75882272
1,1,אוניברסיטה,1,0,1,,167.9164343,804.7068326,31.25139428,34.79212438
1,1,מסחרי,1,0,1,,34.05665994,48.719136,31.24690112,34.79580645
1,0,מגורים,2,4,1,,81.77858753,234.206368,31.24686161,34.79571764
1,0,מגורים,4,8,1,,68.13828606,184.9542098,31.24678886,34.7952805
1,0,מגורים,4,8,1,,67.06526723,233.1396746,31.24556406,34.7887302
1,0,מגורים,4,8,1,,69.66368063,239.2112979,31.24856652,34.7900837
1,0,מגורים,4,8,1,,49.9936381,134.1835202,31.24835132,34.79022275
1,1,קהילתי,1,0,1,מועדון פיס לקשיש,57.27077689,178.4773202,31.24608947,34.7960031
1,0,מקלט,1,0,1,,35.82351845,40.03564913,31.24552618,34.79557036
2,0,מגורים,2,2,1,,82.88941394,280.6178251,31.24723285,34.79571842
2,0,מגורים,2,4,1,,88.00691201,254.247394,31.248261,34.79549653
1,1,מועדון,1,0,1,מועדון בני עקיבא,63.59755496,246.670292,31.24906582,34.79562496
1,1,קהילתי,1,0,1,בית שרמן ויצ''ו,115.8523461,507.8198625,31.24641418,34.79601598
1,0,מגורים,2,4,1,,67.23377895,185.5689402,31.24630053,34.79556711
3,0,מגורים,2,4,1,,82.21892197,242.3309023,31.2465847,34.79563718
1,0,מגורים,2,4,1,,44.46681875,118.7210245,31.2469203,34.79551906
3,0,מגורים,2,4,1,,75.37828939,197.4835966,31.24762549,34.79567186
2,0,מגורים,2,3,1,,83.17992007,213.771136,31.2475234,34.79595456
2,0,מגורים,2,4,1,,87.10265572,235.957728,31.24772798,34.7960595
1,0,מגורים,4,16,1,,56.72732666,197.510688,31.2478776,34.79580848
2,0,מגורים,2,4,1,,83.59219508,220.887104,31.24793937,34.79616304
1,0,מגורים,4,16,1,,76.67475068,253.288785,31.24800839,34.79555506
1,0,מגורים,2,4,1,,48.40962217,115.333216,31.24813621,34.79578967
1,0,בית כנסת,2,0,1,,61.71917708,230.8870828,31.24841038,34.79613196
1,1,ישיבה,2,0,1,,59.75656013,217.2391477,31.24844324,34.79710025
1,1,גן ילדים,1,0,1,,52.51759845,171.472064,31.24836761,34.79771476
4,0,מגורים,3,4,1,,67.85716512,189.2378775,31.24943038,34.79557397
2,0,מגורים,3,4,1,,75.51413077,216.372128,31.24944463,34.79588644
3,0,מגורים,2,4,1,,74.14924713,190.296832,31.24940625,34.79626372
3,0,מגורים,2,4,1,,78.22170242,175.162496,31.24940781,34.79655979
2,0,מגורים,2,4,1,,73.71885236,219.188192,31.24946079,34.79686695
4,0,מגורים,2,4,1,,67.64231187,208.874432,31.24948414,34.79717125
1,0,מגורים,2,4,1,,71.61596184,223.3998765,31.24966812,34.79741485
3,0,מגורים,2,4,1,,72.84408474,186.378528,31.24948525,34.79746928
1,1,מקלט,1,0,1,,27.40648774,33.600096,31.24891954,34.79703635
1,1,משרדים,2,0,1,,97.52151614,415.9574242,31.24899412,34.79729167
1,1,משרדים,1,0,1,,57.90272575,175.62928,31.24888078,34.79683032
1,1,בית כנסת,1,0,1,,121.0199175,395.90448,31.24869477,34.79641967
1,1,בית כנסת,2,0,1,,87.81315518,399.7613155,31.24861013,34.79577822
1,0,בית כנסת,2,0,1,,49.85568835,143.620416,31.2482687,34.79643992
1,0,בית כנסת,2,0,1,,70.6856734,266.4249328,31.24837103,34.79627216
1,1,בית כנסת,2,0,1,,60.26945039,212.524192,31.24850608,34.79595182
1,1,מקלט,1,0,1,,5.671697133,1.76073525,31.24877711,34.79601886
1,1,מקלט,1,0,1,,71.17353473,283.7158968,31.24879939,34.79610369
1,1,מקלט,1,0,1,,28.06997563,20.49273675,31.24878684,34.79596259
1,1,מקלט,1,0,1,,32.47131346,23.795936,31.24889146,34.79594872
1,1,גן ילדים,1,0,1,,56.82724125,178.099008,31.24906704,34.79601151
1,1,מעון,2,0,1,,88.1722293,356.299392,31.24866289,34.79713788
1,1,בית כנסת,1,0,1,ישיבת נתיב השבים,53.23684382,158.2569163,31.24834945,34.79702958
3,0,מגורים,2,4,1,,87.29534099,220.155104,31.24975797,34.79651125
1,1,בית ספר,3,0,1,מכללת אתגר,187.5089271,1042.020482,31.25100924,34.79584629
1,1,קהילתי,1,0,1,,85.77208194,305.590048,31.25082933,34.79699908
1,1,גן ילדים,2,2,1,,95.79886088,355.8138133,31.25055392,34.79698209
1,0,מגורים,2,3,1,,76.25897069,210.5889251,31.25051918,34.79664128
2,0,מגורים,2,4,1,,91.55368443,252.3336728,31.25051555,34.79637757
1,0,מגורים,2,2,1,,78.83695549,199.507648,31.25050761,34.79613153
1,0,מגורים,2,2,1,,69.03923311,187.1603277,31.25052341,34.79584462
1,0,מגורים,2,2,1,,75.19332056,239.12148,31.25054767,34.79557999
1,0,מגורים,2,4,1,,82.36323836,238.34307,31.25027135,34.79585266
1,0,מגורים,2,2,1,,76.40979187,197.88752,31.25025003,34.79631662
1,0,מגורים,3,3,1,,88.01448085,223.0009748,31.25026916,34.79667831
1,0,מגורים,2,2,1,,76.99579526,216.060384,31.25036369,34.79711667
1,0,מגורים,2,2,1,,73.23361786,196.5797176,31.2501544,34.79721246
1,0,מגורים,2,2,1,,78.13977575,228.881952,31.24991275,34.79732964
2,0,מגורים,2,4,1,,77.21834574,229.094912,31.2498447,34.79703483
1,1,מקלט,1,0,1,,16.86299454,16.721792,31.25012466,34.79696811
2,0,מגורים,2,4,1,,68.00382946,181.201792,31.24977354,34.79680758
1,0,מגורים,2,4,1,,84.70144041,194.4808563,31.25002508,34.79670259
2,0,מגורים,2,4,1,,111.3536259,317.7224847,31.25004076,34.79637162
3,0,מגורים,2,4,1,,73.56551538,215.2336755,31.2497486,34.79625687
1,0,מגורים,2,4,1,,80.93360084,212.976928,31.25003211,34.79584161
1,0,מגורים,2,4,1,,81.20280778,186.8233949,31.24979608,34.79589106
1,0,מגורים,2,4,1,,71.39302283,235.049312,31.24981514,34.79559823
1,0,מגורים,2,4,1,,86.98707838,248.5302958,31.25111602,34.79303197
1,1,אוניברסיטה,1,0,1,,124.1718251,885.4450974,31.2510655,34.79208303
1,1,אוניברסיטה,1,0,1,,78.58422769,334.2798813,31.25119636,34.79242636
1,1,אוניברסיטה,1,0,1,,75.71124703,271.3900605,31.25137058,34.7925001
1,1,אוניברסיטה,3,0,1,,185.1606481,790.0362969,31.25141389,34.79161268
1,1,אוניברסיטה,5,0,1,,98.74445629,369.8644953,31.250636,34.79103886
1,1,אוניברסיטה,1,0,1,,80.5562081,291.7142516,31.25032462,34.79175071
1,1,אוניברסיטה,1,0,1,,108.9205422,566.2990431,31.25060009,34.79194689
1,1,אוניברסיטה,1,0,1,,97.20470687,521.5961667,31.2507952,34.79208189
1,1,אוניברסיטה,3,0,1,,114.2399806,723.4072504,31.25096601,34.79117885
1,1,אוניברסיטה,4,0,1,מכללה טכנולוגית,287.9654254,3396.680608,31.25071088,34.79144326
1,0,גן ילדים,2,1,1,,110.0672097,283.411274,31.25146558,34.79065982
3,0,מגורים,2,3,1,,67.26160301,172.4961276,31.25142707,34.7908558
4,0,מגורים,2,4,1,,86.81545144,233.7607734,31.25115356,34.79064819
3,0,מגורים,2,3,1,,111.2238218,393.2014712,31.25087873,34.79051661
4,0,מגורים,2,4,1,,69.30093295,173.8662455,31.2500331,34.79135749
4,0,מגורים,2,4,1,,110.2117949,320.0413122,31.25014466,34.79108435
4,0,מגורים,2,4,1,,71.17678075,189.9238435,31.25030047,34.79086259
4,0,מגורים,2,4,1,,84.00462991,251.4918875,31.24988355,34.79188729
1,0,מגורים,2,4,1,,52.10837591,116.4623825,31.25095581,34.79288493
1,0,מגורים,2,4,1,,81.23239554,210.5872085,31.25076103,34.79273756
1,0,מגורים,2,4,1,,87.26662608,222.1543088,31.25036951,34.79251101
1,0,מגורים,2,4,1,,83.44441409,207.7372426,31.25018409,34.79243921
1,0,מגורים,2,4,1,,79.32217787,236.5685876,31.25023168,34.79290955
1,0,מגורים,2,4,1,,73.28373037,186.0491995,31.25129931,34.79319406
1,0,מגורים,2,4,1,,81.52545598,211.3310443,31.25147297,34.79336607
1,0,מגורים,2,4,1,,96.82149021,235.7928144,31.25105916,34.79346451
1,0,מגורים,2,4,1,,90.86406215,254.601326,31.25087226,34.7932981
1,0,מגורים,2,4,1,,80.91022041,241.8890988,31.25065583,34.7931795
1,0,מגורים,2,4,1,,66.35096518,160.8802125,31.25045847,34.79308022
1,0,מגורים,2,4,1,,82.54905406,225.9678757,31.25008889,34.79320439
1,0,מגורים,2,4,1,,72.58497799,244.1776373,31.25037896,34.79364168
1,0,מגורים,2,4,1,,111.3853701,304.0862606,31.25018294,34.7940691
1,0,מגורים,2,4,1,,99.13750327,232.1876811,31.25005478,34.79440898
1,0,מגורים,2,4,1,,83.97504334,187.2285146,31.25000552,34.79344329
1,0,מגורים,2,4,1,,85.5899532,232.7887044,31.24994651,34.79370214
1,0,מגורים,2,4,1,,70.56772128,198.6341753,31.24998458,34.79468857
1,0,מגורים,2,4,1,,87.34647423,232.9485631,31.25009671,34.79544174
1,0,מגורים,2,4,1,,81.4771678,212.4645924,31.2512727,34.79361122
1,0,מגורים,2,4,1,,55.04052907,135.8023741,31.25103485,34.79409086
1,0,מגורים,2,4,1,,83.13458219,246.2561805,31.25091204,34.79432721
1,0,מגורים,2,4,1,,71.51260918,201.471922,31.250672,34.79422194
1,0,מגורים,2,4,1,,84.12070175,217.2416704,31.25080046,34.79459595
1,1,מקלט,1,0,1,,16.36523046,15.40359723,31.25065077,34.79442817
1,0,מגורים,2,4,1,,86.1892766,284.2490898,31.25049883,34.79467182
1,0,מגורים,2,4,1,,95.47594824,238.7885654,31.2504157,34.79502837
1,0,מגורים,2,4,1,,85.18861578,217.3026628,31.25067899,34.79508056
1,0,מגורים,2,4,1,,75.31421478,213.6940681,31.25031729,34.79549046
1,0,מגורים,2,4,1,,58.69003283,140.3556525,31.25057551,34.79534011
1,0,מגורים,4,8,1,,49.84229109,152.8372863,31.25095399,34.79522715
1,0,מגורים,4,8,1,,50.5020999,156.4404245,31.25098052,34.7950815
1,0,מגורים,4,8,1,,51.81145466,163.5869613,31.25100796,34.79493081
1,0,מגורים,4,8,1,,48.28237174,144.3471908,31.25103437,34.79478583
1,0,מגורים - חזית ציבורי/ מסחר,4,8,1,,47.7008688,141.2757382,31.25119922,34.79529163
1,0,מגורים - חזית ציבורי/ מסחר,4,8,1,,50.86533489,149.018913,31.25122144,34.79515845
1,0,מגורים - חזית ציבורי/ מסחר,4,8,1,,49.55811229,140.1171629,31.25124466,34.79502763
1,1,מגורים - חזית ציבורי/ מסחר,4,8,1,,48.77250274,147.1492278,31.25127091,34.79489525
