Entrances,Not_reside,Used,floors,appartment,RuleID,Name,Shape_Leng,Shape_Area,lat,lon,Usage_Grouped,TileX,TileY,solar_2019,solar_2020,solar_2021,solar_2022,solar_2023,solar_2024
1,0,מגורים,1,1,1,,67.08476196,169.0978049,31.27250823,34.75858101,Residence,386275.7950097056,329567.67087791656,0,0,0,0,0,0
1,0,מגורים,1,1,1,,63.022146,194.503221,31.27238474,34.75783196,Residence,386276.5843244935,329563.460880473,0,0,0,0,0,1
1,0,מגורים,1,1,1,,65.36629997,195.6422932,31.27314537,34.75728654,Residence,386271.5672629328,329560.43440999713,0,0,0,0,0,0
1,0,מגורים,2,1,1,,71.07699336,214.7427204,31.27415135,34.75416643,Residence,386264.8560012638,329542.97195682296,0,1,1,1,1,1
1,0,מגורים,1,1,1,,63.43271605,203.5928526,31.27451957,34.75512647,Residence,386262.463690653,329548.3769929184,0,0,0,0,0,0
1,0,מגורים,1,1,1,,60.27800227,178.4330125,31.27260436,34.76139408,Residence,386275.2469769417,329583.46590124257,0,0,0,0,0,0
1,0,מגורים,2,1,1,,64.70905149,162.2279062,31.27545374,34.75700845,Residence,386256.3767716623,329558.98299874575,0,0,0,0,0,0
1,0,מגורים,1,1,1,,65.63942481,201.1773854,31.27502649,34.75500454,Residence,386259.1252111203,329547.71739970736,0,0,0,0,0,0
1,0,מגורים,1,1,1,,67.49593711,197.6216599,31.27389273,34.76025873,Residence,386266.7431757026,329577.15083284886,0,0,0,0,0,0
1,0,מגורים,1,1,1,,64.49436872,197.6562183,31.27342649,34.7587799,Residence,386269.7640953568,329568.82904498203,0,0,0,0,0,0
1,0,מגורים,1,1,1,,67.5585687,174.3993985,31.27231871,34.75186767,Residence,386276.83745526674,329529.984551602,0,0,0,1,1,1
1,0,מגורים,1,1,1,,62.07001176,189.2307,31.27159927,34.75927285,Residence,386281.7899522228,329571.51382420165,0,0,0,0,0,0
1,0,מגורים,2,1,1,,57.44011448,168.5285131,31.27373609,34.75579987,Residence,386267.6375303877,329552.1184864308,0,0,0,0,0,0
